10	x	y	xelow	xeup	yelow	yeup
132	6.34E+012	0.45	0.00E+000	0.00E+000	0.00E+000	0.00E+000
133	9.51E+012	0.45	0.00E+000	0.00E+000	0.00E+000	0.00E+000
134	1.43E+013	0.44	0.00E+000	0.00E+000	0.00E+000	0.00E+000
135	2.14E+013	0.42	0.00E+000	0.00E+000	0.00E+000	0.00E+000
136	3.21E+013	0.36	0.00E+000	0.00E+000	0.00E+000	0.00E+000
137	3.21E+013	0.36	0.00E+000	0.00E+000	0.00E+000	0.00E+000
117	x	y	xelow	xeup	yelow	yeup
1	4.14E+006	1.62E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
2	5.23E+006	1.62E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
3	5.23E+006	2.07E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
4	6.61E+006	2.07E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
5	6.61E+006	2.21E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
6	8.35E+006	2.21E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
7	8.35E+006	2.35E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
8	1.06E+007	2.35E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
9	1.06E+007	3.58E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
10	1.33E+007	3.58E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
11	1.33E+007	4.13E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
12	1.69E+007	4.13E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
13	1.69E+007	5.47E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
14	2.13E+007	5.47E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
15	2.13E+007	6.37E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
16	2.69E+007	6.37E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
17	2.69E+007	9.12E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
18	3.40E+007	9.12E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
19	3.40E+007	1.14E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
20	4.30E+007	1.14E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
21	4.30E+007	1.48E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
22	5.43E+007	1.48E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
23	5.43E+007	1.97E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
24	6.87E+007	1.97E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
25	6.87E+007	2.45E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
26	8.68E+007	2.45E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
27	8.68E+007	3.06E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
28	1.10E+008	3.06E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
29	1.10E+008	3.98E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
30	1.39E+008	3.98E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
31	1.39E+008	4.88E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
32	1.75E+008	4.88E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
33	1.75E+008	6.31E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
34	2.21E+008	6.31E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
35	2.21E+008	6.95E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
36	2.80E+008	6.95E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
37	2.80E+008	7.91E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
38	3.54E+008	7.91E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
39	3.54E+008	8.31E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
40	4.47E+008	8.31E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
41	4.47E+008	8.81E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
42	5.65E+008	8.81E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
43	5.65E+008	8.39E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
44	7.14E+008	8.39E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
45	7.14E+008	7.69E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
46	9.03E+008	7.69E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
47	9.03E+008	7.24E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
48	1.14E+009	7.24E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
49	1.14E+009	4.69E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
50	1.44E+009	4.69E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
51	1.44E+009	3.19E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
52	1.82E+009	3.19E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
53	1.82E+009	3.41E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
54	2.30E+009	3.41E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
55	2.30E+009	1.67E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
56	2.91E+009	1.67E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
57	2.91E+009	9.87E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
58	3.68E+009	9.87E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
59	3.68E+009	5.77E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
