tim_000.dat
2 2	108 165 5441.18	109 238 5425
2 2	108 165 5441.18	110 252 5400
2 2	108 177 5643.48	108 189 5460
2 2	108 177 5643.48	108 197 5566.67
2 2	108 177 5643.48	109 230 5233.33
2 2	108 177 5643.48	109 238 5425
2 2	108 177 5643.48	110 252 5400
2 2	108 189 5460	108 197 5566.67
2 2	108 189 5460	109 209 5075
2 2	108 189 5460	109 230 5233.33
2 2	108 189 5460	109 238 5425
2 2	108 189 5460	110 252 5400
2 2	108 197 5566.67	109 209 5075
2 2	108 197 5566.67	109 230 5233.33
2 2	108 197 5566.67	109 238 5425
2 2	108 197 5566.67	110 252 5400
2 2	109 209 5075	109 230 5233.33
2 2	109 209 5075	109 238 5425
2 2	109 209 5075	110 252 5400
2 2	109 230 5233.33	109 238 5425
2 2	109 230 5233.33	110 252 5400
2 2	109 238 5425	110 252 5400
2 2	185 16 216851	185 85 216856
tim_013.dat
2 2	102 7 193933	205 190 194025
2 2	102 7 193933	204 196 194310
2 2	102 7 193933	205 220 193800
2 2	102 7 193933	205 230 194275
2 2	151 163 482007	151 174 482392
2 2	177 1 99750	177 10 99260
2 2	178 24 98477.8	179 92 98260
2 2	202 47 195410	203 134 195106
2 2	202 47 195410	204 183 195043
2 2	203 134 195106	204 183 195043
2 2	205 190 194025	204 196 194310
2 2	205 190 194025	205 205 194440
2 2	205 190 194025	205 220 193800
2 2	205 190 194025	205 230 194275
2 2	204 196 194310	205 205 194440
2 2	204 196 194310	205 230 194275
2 2	205 205 194440	205 230 194275
2 2	205 220 193800	205 230 194275
2 2	252 16 213213	253 42 212756
2 2	252 16 213213	254 89 213150
2 2	253 42 212756	254 89 213150
1 2	96 98 760375	127 117 759909
tim_014.dat
2 2	19 77 960042	19 164 960042
2 2	50 51 945405	53 119 945420
2 2	50 51 945405	54 132 945903
2 2	53 119 945420	54 132 945903
2 2	157 28 928575	163 220 928603
2 2	157 28 928575	162 206 928150
2 2	157 60 927820	161 167 927900
2 2	157 60 927820	162 200 927957
2 2	157 60 927820	162 206 928150
2 2	161 167 927900	162 200 927957
2 2	161 167 927900	162 206 928150
2 2	162 200 927957	162 206 928150
2 2	163 220 928603	162 206 928150
2 2	188 240 339306	189 252 339400
2 2	240 89 210862	243 125 210586
2 2	240 89 210862	244 148 210535
2 2	243 125 210586	244 148 210535
tim_015.dat
1 1	201 136 410983	229 176 410983
2 2	3 113 907275	4 207 907282
2 2	63 2 409050	63 20 408859
2 2	63 2 409050	64 39 408744
2 2	63 9 409757	65 164 410150
2 2	63 20 408859	64 39 408744
2 2	63 20 408859	63 34 408417
2 2	64 39 408744	63 34 408417
2 2	63 51 407460	69 246 406980
2 2	137 212 806153	137 223 805825
2 2	185 45 564680	187 53 564820
2 2	230 21 960030	233 251 959992
2 2	230 21 960030	236 232 960000
2 2	233 251 959992	236 232 960000
tim_016.dat
2 2	93 76 827180	96 180 827165
2 2	114 10 434035	114 24 433815
2 2	174 145 522517	175 199 522200
2 2	175 102 521753	175 199 522200
2 2	175 119 521093	175 138 521145
tim_017.dat
1 1	160 82 268950	161 33 268949
2 2	36 232 718589	37 243 718150
2 2	86 63 796667	87 75 796650
2 2	117 82 960050	118 195 959950
2 2	130 122 120050	133 190 120514
2 2	132 152 121100	133 196 121175
2 2	132 152 121100	133 212 120786
2 2	132 152 121100	134 229 120675
2 2	132 152 121100	135 245 120892
2 2	133 190 120514	133 212 120786
2 2	133 190 120514	134 229 120675
2 2	133 190 120514	135 245 120892
2 2	133 196 121175	133 212 120786
2 2	133 196 121175	134 229 120675
2 2	133 196 121175	135 245 120892
2 2	133 212 120786	134 229 120675
2 2	133 212 120786	135 245 120892
2 2	134 229 120675	135 245 120892
2 2	142 54 365317	142 59 365725
2 2	142 54 365317	143 66 365011
2 2	152 169 586672	153 44 586612
2 2	178 2 340240	178 11 340050
2 2	248 32 674922	247 95 674950
tim_018.dat
2 2	73 166 622612	73 184 622643
2 2	73 166 622612	73 192 622233
2 2	73 184 622643	73 192 622233
2 2	238 78 77271.4	237 253 77640
tim_019.dat
tim_020.dat
tim_021.dat
tim_022.dat
2 2	170 127 960026	170 179 960000
2 2	170 127 960026	170 172 959991
2 2	170 127 960026	170 189 959900
2 2	170 127 960026	211 133 960046
2 2	170 179 960000	170 172 959991
2 2	170 179 960000	170 189 959900
2 2	170 179 960000	211 133 960046
2 2	170 172 959991	170 189 959900
2 2	170 172 959991	211 133 960046
2 2	170 189 959900	211 133 960046
2 2	181 8 835740	184 46 835700
2 2	181 8 835740	185 163 835786
2 2	184 46 835700	185 163 835786
2 2	241 141 393560	246 142 393888
tim_023.dat
2 2	19 146 664122	18 138 663822
2 2	19 146 664122	21 244 663685
2 2	18 138 663822	21 244 663685
2 2	89 8 960017	90 40 960050
2 2	89 8 960017	92 91 960060
2 2	90 40 960050	92 91 960060
2 2	107 80 153667	108 109 154058
2 2	108 96 154393	108 109 154058
tim_024.dat
2 2	111 78 434123	221 144 433759
2 2	133 16 276900	148 97 277380
2 2	192 39 409933	192 71 409770
2 2	192 39 409933	191 127 410122
2 2	192 39 409933	192 28 409778
2 2	192 39 409933	192 50 409675
2 2	192 71 409770	192 89 409358
2 2	192 71 409770	191 127 410122
2 2	192 71 409770	192 22 409367
2 2	192 71 409770	192 28 409778
2 2	192 71 409770	192 50 409675
2 2	192 89 409358	192 22 409367
2 2	192 89 409358	192 28 409778
2 2	192 89 409358	192 50 409675
2 2	192 89 409358	192 56 409171
2 2	191 127 410122	192 28 409778
2 2	191 127 410122	192 50 409675
